x,y,theta,mag,J,min_J
-3,-3,80,0.5,0.8316491744125616,0.8316491744125616
-3,-3,80,1.0,0.9275318677279453,0.9275318677279453
-3,-3,80,1.5,0.9266341609246894,0.7409575662944015
-3,-3,80,2.0,0.9704040119978402,0.8009725216142172
-3,-3,80,2.5,1.1715051485151504,0.5093726661050965
-3,-3,80,3.0,0.9695728622545988,0.552018928583005
-3,-3,80,3.5,0.8334619088223205,0.22887436316003823
-3,-3,80,4.0,0.8981116493067043,0.2570399144431566
-3,-3,80,4.5,0.5124918549828773,-0.11081899870550929
-3,-3,80,5.0,0.7756432109236682,-0.2039669556851288
-3,-3,90,0.5,0.8179526829715562,0.8179526829715562
-3,-3,90,1.0,0.8352179269700167,0.8352179269700167
-3,-3,90,1.5,0.8868255179964551,0.7331319039272771
-3,-3,90,2.0,0.8357272005898583,0.7459566104542188
-3,-3,90,2.5,1.407034679751723,0.4298259817657294
-3,-3,90,3.0,0.7884709328834358,0.5571713142522433
-3,-3,90,3.5,0.669619978699529,0.06617542430200443
-3,-3,90,4.0,0.7254741724094406,0.3768550059823191
-3,-3,90,4.5,-0.5443439757231827,-0.5443439757231827
-3,-3,90,5.0,0.6501172776266508,0.20753801710575678
-3,-3,100,0.5,0.8000153130488729,0.8000153130488729
-3,-3,100,1.0,0.869528736730792,0.869528736730792
-3,-3,100,1.5,0.7873944620776829,0.7240908563707332
-3,-3,100,2.0,0.845867327586729,0.7620198458328761
-3,-3,100,2.5,0.6728469950606629,0.4897337460713286
-3,-3,100,3.0,0.7706574228261709,0.5191579984527883
-3,-3,100,3.5,0.4599914172528109,0.24096249637729367
-3,-3,100,4.0,0.5171033951288191,0.22671755337994892
-3,-3,100,4.5,0.40781670261260616,0.04386893963065658
-3,-3,100,5.0,0.14233256914118347,-0.7155661214694669
-3,-3,110,0.5,0.778712293269025,0.778712293269025
-3,-3,110,1.0,0.8122746221201435,0.8122746221201435
-3,-3,110,1.5,0.7009524447124811,0.7009524447124811
-3,-3,110,2.0,0.7500733261598765,0.6338800371754163
-3,-3,110,2.5,0.7441778446140908,0.7325865922437611
-3,-3,110,3.0,0.44201900338393185,0.36474144305650036
-3,-3,110,3.5,0.6408300694486116,0.3997843119451049
-3,-3,110,4.0,0.4058817694540868,0.2748840214580861
-3,-3,110,4.5,-0.23353061625667965,-0.36587233886576015
-3,-3,110,5.0,0.3890016451499188,0.2405808291455846
-3,-3,120,0.5,0.762155844043744,0.762155844043744
-3,-3,120,1.0,0.7285702002156975,0.7285702002156975
-3,-3,120,1.5,0.7271484959494419,0.7271484959494419
-3,-3,120,2.0,0.5868730622019661,0.5868730622019661
-3,-3,120,2.5,0.5100156760462788,0.5100156760462788
-3,-3,120,3.0,0.7580846798207796,0.471756645764717
-3,-3,120,3.5,0.6229259729284705,0.598432017658096
-3,-3,120,4.0,0.2676022847688147,0.2676022847688147
-3,-3,120,4.5,-0.3543583155535856,-0.3543583155535856
-3,-3,120,5.0,-0.14733151101442443,-0.27024885078644967
-3,-3,130,0.5,0.7684361256527821,0.7684361256527821
-3,-3,130,1.0,0.6692597090609436,0.6692597090609436
-3,-3,130,1.5,0.5692460595713537,0.5692460595713537
-3,-3,130,2.0,0.5692608295692545,0.5692608295692545
-3,-3,130,2.5,0.6398120740179438,0.6022406592266439
-3,-3,130,3.0,0.6238536108874648,0.5496649108456968
-3,-3,130,3.5,0.5670911902039839,0.5670911902039839
-3,-3,130,4.0,0.5232594164843571,0.5232594164843571
-3,-3,130,4.5,0.5241464031805795,0.5241464031805795
