x,y,theta,mag,J,min_J,J3,min_J3,J9,min_J9,correlation_J_J3,correlation_J_J9,correlation_J3_J9
-3,-3,70,0.5,0.8899641806859115,0.848301373620495,0.8416364019772664,0.8416364019772664,0.7328634546561973,0.7328634546561973,0.9156799561814772,0.5100868118757927,0.7767134989934001
-3,-3,70,1.0,0.9764150627192044,0.9394881170635155,0.9332732057541833,0.8995403030698511,0.8885210813966014,0.8885210813966014,0.9314450029551219,0.42138650841003195,0.6430770347737055
-3,-3,70,1.5,1.0765763114055347,0.7906239721658885,0.9528787717232523,0.7746533766964994,0.8818876711347493,0.8818876711347493,0.812837322292755,0.614397314769374,0.6570725690966095
-3,-3,70,2.0,1.0499633351384363,0.8207703372506875,1.0459146833611668,0.7038018647276723,0.8427426045549504,0.8427426045549504,0.8174739191936651,0.10174804254979843,0.23194940389759108
-3,-3,70,2.5,1.6413466200521556,0.5987151979932834,1.0138440220736835,0.6207455461979797,0.9521289723077366,0.8237216456342645,0.6256976233876002,0.5219312745447983,0.8867936583361925
-3,-3,70,3.0,1.102987561107347,0.5071650496411945,1.2450912593615686,0.44234623185201455,1.1935773897647204,0.6663731220046506,0.5503304987126214,0.5064659804818082,0.9060462802841102
-3,-3,70,3.5,1.0735750862101319,0.30277564744742286,1.0005595617585785,0.5456503721514269,0.9838004387546997,0.55744167447075,0.46730757882278673,0.06307408021855446,0.1557674387483277
-3,-3,70,4.0,1.0442745039833632,0.06936992727354128,0.9203099536153049,0.167993990598998,0.9212912648816826,0.4921741040581182,0.3082011952017197,0.0917053260856316,0.4026590106711965
-3,-3,70,4.5,-0.07727609994846191,-0.0797935489508555,0.9846728122225106,0.079209066238934,0.8889549337129318,0.49863942299376207,0.459039578337651,0.585541392852106,0.34523902155189023
-3,-3,70,5.0,0.9183701148948877,-0.42347327019791564,0.8477634537753829,-0.05371778608119724,0.23150238888871505,0.07333746899700662,0.4737922472257787,0.461826505033718,0.7183435962917039
-3,-3,80,0.5,0.8767984018061621,0.8310756505776797,0.8316491744125616,0.8316491744125616,0.7151910514860188,0.7151910514860188,0.9711715195115056,0.712261318490879,0.7890532872694322
