x,y,theta,mag,J
-3,-3,250,5.0,0.691348128448603
-3,-3,260,0.5,0.9167374757157294
-3,-3,260,1.0,0.9294827211387325
-3,-3,260,1.5,0.9087584855938484
-3,-3,260,2.0,0.8739830340982003
-3,-3,260,2.5,0.8392300080281552
-3,-3,260,3.0,0.8042803394500149
-3,-3,260,3.5,0.7696020677226423
-3,-3,260,4.0,0.734987682741179
-3,-3,260,4.5,0.700340248385761
-3,-3,260,5.0,0.6658182713584547
-3,-3,270,0.5,0.9253067694449634
-3,-3,270,1.0,0.9400803595443155
-3,-3,270,1.5,0.9034905652666129
-3,-3,270,2.0,0.8669007709889113
-3,-3,270,2.5,0.8303109767112091
-3,-3,270,3.0,0.7937211824335069
-3,-3,270,3.5,0.7571313881558046
-3,-3,270,4.0,0.7205415938781016
-3,-3,270,4.5,0.6839517996004001
-3,-3,270,5.0,0.6473620053226989
-3,-3,280,0.5,0.9332506038273092
-3,-3,280,1.0,0.9388777402464594
-3,-3,280,1.5,0.901506002788457
-3,-3,280,2.0,0.8640358524696523
-3,-3,280,2.5,0.826214331873113
-3,-3,280,3.0,0.7890557639956843
-3,-3,280,3.5,0.7518890239224024
-3,-3,280,4.0,0.7146847880488655
-3,-3,280,4.5,0.6774192234714805
-3,-3,280,5.0,0.6397181434829089
-3,-3,290,0.5,0.940251313412755
-3,-3,290,1.0,0.939488117063517
-3,-3,290,1.5,0.9021734264553617
-3,-3,290,2.0,0.865557987204221
-3,-3,290,2.5,0.8287235635032473
-3,-3,290,3.0,0.7913226729291062
-3,-3,290,3.5,0.7545163483542222
-3,-3,290,4.0,0.7177685887672847
-3,-3,290,4.5,0.6804885065262781
-3,-3,290,5.0,0.6438171187924286
-3,-3,300,0.5,0.9461422513126397
-3,-3,300,1.0,0.9421006442253997
-3,-3,300,1.5,0.9071076889578885
-3,-3,300,2.0,0.8711965519466501
-3,-3,300,2.5,0.8359589357739967
-3,-3,300,3.0,0.8001743907762194
-3,-3,300,3.5,0.7651317282834418
-3,-3,300,4.0,0.7300994943702873
-3,-3,300,4.5,0.6950706778292863
-3,-3,300,5.0,0.6600408117837521
-3,-3,310,0.5,0.9506698954018066
-3,-3,310,1.0,0.947575465642844
-3,-3,310,1.5,0.914358673032675
-3,-3,310,2.0,0.8817516756491555
-3,-3,310,2.5,0.848628232823007
-3,-3,310,3.0,0.8162902127396672
-3,-3,310,3.5,0.7839651626920511
-3,-3,310,4.0,0.7516419124446038
-3,-3,310,4.5,0.719311014080713
-3,-3,310,5.0,0.6869556298584897
-3,-3,320,0.5,0.9541626893588736
-3,-3,320,1.0,0.9565872442966179
-3,-3,320,1.5,0.9251982408284032
-3,-3,320,2.0,0.895648799566467
-3,-3,320,2.5,0.8669865443770259
-3,-3,320,3.0,0.7945677962116809
-3,-3,320,3.5,0.7167871474190534
-3,-3,320,4.0,0.6390273100691017
-3,-3,320,4.5,0.5623545656656475
-3,-3,320,5.0,0.48322736985743775
-3,-3,330,0.5,0.9556943676881647
-3,-3,330,1.0,0.9651847530570806
-3,-3,330,1.5,0.9406618133432185
-3,-3,330,2.0,0.8751633166405142
-3,-3,330,2.5,0.7787463388764325
-3,-3,330,3.0,0.6822569340372893
-3,-3,330,3.5,0.585754397085767
-3,-3,330,4.0,0.4902680089928861
-3,-3,330,4.5,0.39250872427126443
-3,-3,330,5.0,0.29576376499601853
-3,-3,340,0.5,0.9553109071207209
-3,-3,340,1.0,0.9763877179979623
-3,-3,340,1.5,0.9241766321512196
-3,-3,340,2.0,0.8120807136332171
-3,-3,340,2.5,0.6998254129448619
-3,-3,340,3.0,0.5875236543203447
-3,-3,340,3.5,0.47547337116521005
-3,-3,340,4.0,0.36286412834605797
-3,-3,340,4.5,0.2502536188001594
-3,-3,340,5.0,0.13772430473345904
-3,-3,350,0.5,0.9528995576052699
-3,-3,350,1.0,0.9933074535186037
-3,-3,350,1.5,0.8873638076488034
-3,-3,350,2.0,0.7627390886765361
-3,-3,350,2.5,0.6382493959018042
-3,-3,350,3.0,0.5133770114779272
-3,-3,350,3.5,0.3896994093333957
-3,-3,350,4.0,0.2639902310902814
-3,-3,350,4.5,0.13879024981028937
-3,-3,350,5.0,0.013867135465543537
-3,-2,0,0.5,0.9407053197429003
-3,-2,0,1.0,0.9958615083030764
-3,-2,0,1.5,0.8610947379863807
-3,-2,0,2.0,0.7253746024301737
-3,-2,0,2.5,0.5895681979413264
-3,-2,0,3.0,0.45368203300842247
-3,-2,0,3.5,0.31773881976294427
-3,-2,0,4.0,0.18175511742329165
-3,-2,0,4.5,0.045740330842631405
-3,-2,0,5.0,-0.09029948552608036
-3,-2,10,0.5,0.9357463948320853
-3,-2,10,1.0,0.9446163640928855
-3,-2,10,1.5,0.8417900580394709
-3,-2,10,2.0,0.6990071168550874
-3,-2,10,2.5,0.5563874322852943
-3,-2,10,3.0,0.4136005084761533
-3,-2,10,3.5,0.27070166319567696
-3,-2,10,4.0,0.12787961146493143
-3,-2,10,4.5,-0.015003030744205316
-3,-2,10,5.0,-0.1579399147771482
-3,-2,20,0.5,0.9283475182587226
-3,-2,20,1.0,0.9004352926311217
-3,-2,20,1.5,0.8113717092093161
-3,-2,20,2.0,0.6893114847581903
-3,-2,20,2.5,0.5443597637402009
-3,-2,20,3.0,0.3990182945071502
-3,-2,20,3.5,0.2539536020856873
-3,-2,20,4.0,0.1088430636541765
-3,-2,20,4.5,-0.03630393018038652
-3,-2,20,5.0,-0.1814809080377316
-3,-2,30,0.5,0.920318877597258
-3,-2,30,1.0,0.8588600619586602
-3,-2,30,1.5,0.7485502477304469
