x,y,theta,mag,J
-3,-3,190,1.0,0.8178583274573796
-3,-3,190,1.5,0.7714249722752676
-3,-3,190,2.0,0.7261233290579162
-3,-3,190,2.5,0.6695270513767021
-3,-3,190,3.0,0.6227707880725317
-3,-3,190,3.5,0.6077431278764045
-3,-3,190,4.0,0.5958567925179528
-3,-3,190,4.5,0.5706235375619556
-3,-3,190,5.0,0.5086676903735782
-3,-3,200,0.5,0.867156493103822
-3,-3,200,1.0,0.8289629850245531
-3,-3,200,1.5,0.7892962691170098
-3,-3,200,2.0,0.7503662352207825
-3,-3,200,2.5,0.6992954924097081
-3,-3,200,3.0,0.6509394796708902
-3,-3,200,3.5,0.6371482943080176
-3,-3,200,4.0,0.6303821701410304
-3,-3,200,4.5,0.6193675549049691
-3,-3,200,5.0,0.582662220777052
-3,-3,210,0.5,0.8738279090644246
-3,-3,210,1.0,0.8426359471355807
-3,-3,210,1.5,0.8135029921696448
-3,-3,210,2.0,0.7798360992157222
-3,-3,210,2.5,0.7359488784135132
-3,-3,210,3.0,0.7003204249873684
-3,-3,210,3.5,0.66738496174493
-3,-3,210,4.0,0.6652022498882708
-3,-3,210,4.5,0.6640429757441701
-3,-3,210,5.0,0.6514101908302663
-3,-3,220,0.5,0.8815712716124583
-3,-3,220,1.0,0.8584687592979687
-3,-3,220,1.5,0.8366455002007991
-3,-3,220,2.0,0.8130195599373924
-3,-3,220,2.5,0.7851551561489495
-3,-3,220,3.0,0.7491338229262547
-3,-3,220,3.5,0.7154540744187649
-3,-3,220,4.0,0.6995446004492487
-3,-3,220,4.5,0.7026442159960191
-3,-3,220,5.0,0.706855087718168
-3,-3,230,0.5,0.8897512853344517
-3,-3,230,1.0,0.8760832166204845
-3,-3,230,1.5,0.8612380573484788
-3,-3,230,2.0,0.8479207812140925
-3,-3,230,2.5,0.831639876435408
-3,-3,230,3.0,0.8125648854397346
-3,-3,230,3.5,0.7856073309559536
-3,-3,230,4.0,0.7671053481745774
-3,-3,230,4.5,0.743005891111872
-3,-3,230,5.0,0.7467934291535608
-3,-3,240,0.5,0.8986122450431576
-3,-3,240,1.0,0.892880863264814
-3,-3,240,1.5,0.8879875681647458
-3,-3,240,2.0,0.8827435587260126
-3,-3,240,2.5,0.8780483795538089
-3,-3,240,3.0,0.8674800493179481
-3,-3,240,3.5,0.8630157275770741
-3,-3,240,4.0,0.8532115947438458
-3,-3,240,4.5,0.8358196283392456
-3,-3,240,5.0,0.8262885403135147
-3,-3,250,0.5,0.9076624759608651
-3,-3,250,1.0,0.9116337862097866
-3,-3,250,1.5,0.9148276155589453
-3,-3,250,2.0,0.9188284896221833
-3,-3,250,2.5,0.9223487960161546
-3,-3,250,3.0,0.9265035645501022
-3,-3,250,3.5,0.9305743210791146
-3,-3,250,4.0,0.9304110804984171
-3,-3,250,4.5,0.9360585057074858
-3,-3,250,5.0,0.9373093689988073
-3,-3,260,0.5,0.9167374757157294
-3,-3,260,1.0,0.9294827211387325
-3,-3,260,1.5,0.9422292310058066
-3,-3,260,2.0,0.9549788796529067
-3,-3,260,2.5,0.9677462206459728
-3,-3,260,3.0,0.979830371907668
-3,-3,260,3.5,0.9929352782714013
-3,-3,260,4.0,1.0053570422458684
-3,-3,260,4.5,1.0180175110402303
-3,-3,260,5.0,1.0305760746283115
-3,-3,270,0.5,0.9253067694449634
-3,-3,270,1.0,0.9466268991054836
-3,-3,270,1.5,0.9679634389411765
-3,-3,270,2.0,0.9892999787768686
-3,-3,270,2.5,1.0106365186125632
-3,-3,270,3.0,1.031973058448258
-3,-3,270,3.5,1.0533095982839475
-3,-3,270,4.0,1.0746461381196353
-3,-3,270,4.5,1.0959826779553312
-3,-3,270,5.0,1.1173192177910307
-3,-3,280,0.5,0.9332506038273092
-3,-3,280,1.0,0.9625500343430071
-3,-3,280,1.5,0.9917947138430628
-3,-3,280,2.0,1.0209683665992813
-3,-3,280,2.5,1.0495170290704727
-3,-3,280,3.0,1.0789946945782811
-3,-3,280,3.5,1.1085293405200145
-3,-3,280,4.0,1.138073206129794
-3,-3,280,4.5,1.1676139460464399
-3,-3,280,5.0,1.1970475159818834
-3,-3,290,0.5,0.940251313412755
-3,-3,290,1.0,0.9764150627192058
-3,-3,290,1.5,1.0119406322871494
-3,-3,290,2.0,1.0485034834196705
-3,-3,290,2.5,1.0850549178779638
-3,-3,290,3.0,1.12150756439434
-3,-3,290,3.5,1.1583218934221122
-3,-3,290,4.0,1.195159071929523
-3,-3,290,4.5,1.2315014191101203
-3,-3,290,5.0,1.268260417801399
-3,-3,300,0.5,0.9461422513126397
-3,-3,300,1.0,0.9873745012587846
-3,-3,300,1.5,1.0298352086184537
-3,-3,300,2.0,1.0720942156525854
-3,-3,300,2.5,1.1148997933616172
-3,-3,300,3.0,1.1573081069339015
-3,-3,300,3.5,1.2000260570594448
-3,-3,300,4.0,1.242712735858235
-3,-3,300,4.5,1.2853667905052601
-3,-3,300,5.0,1.327989022846159
-3,-3,310,0.5,0.9506698954018066
-3,-3,310,1.0,0.9967143670195967
-3,-3,310,1.5,1.0434989613820298
-3,-3,310,2.0,1.0909891320076652
-3,-3,310,2.5,1.1380756425678102
-3,-3,310,3.0,1.1854278540512162
-3,-3,310,3.5,1.2327175562364348
-3,-3,310,4.0,1.2799468375799645
-3,-3,310,4.5,1.3271225684780117
-3,-3,310,5.0,1.3743018298643095
-3,-3,320,0.5,0.9541626893588736
-3,-3,320,1.0,1.0032135108090674
-3,-3,320,1.5,1.0533134487782194
-3,-3,320,2.0,1.1036951318489825
-3,-3,320,2.5,1.154271282900752
-3,-3,320,3.0,1.2047507275416411
-3,-3,320,3.5,1.2551382969098306
-3,-3,320,4.0,1.305454061807427
-3,-3,320,4.5,1.3563369760145143
-3,-3,320,5.0,1.406033315644651
-3,-3,330,0.5,0.9556943676881647
-3,-3,330,1.0,1.006555688585602
-3,-3,330,1.5,1.0586529835673133
-3,-3,330,2.0,1.110515643936833
-3,-3,330,2.5,1.1627023581763876
-3,-3,330,3.0,1.2147611309190878
-3,-3,330,3.5,1.266713105813094
-3,-3,330,4.0,1.3191978897855376
-3,-3,330,4.5,1.3704753529539568
-3,-3,330,5.0,1.4221280952550095
-3,-3,340,0.5,0.9553109071207209
-3,-3,340,1.0,1.006412733527772
-3,-3,340,1.5,1.058687789585833
-3,-3,340,2.0,1.1111443719913834
