level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,region,count,region name
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Orbital area,"Orbital area, lateral part","Orbital area, lateral part, layer 2/3",,,402,1,"Orbital area, lateral part, layer 2/3"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Orbital area,"Orbital area, medial part","Orbital area, medial part, layer 1",,,474,385,"Orbital area, medial part, layer 1"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Orbital area,"Orbital area, medial part","Orbital area, medial part, layer 2/3",,,572,33,"Orbital area, medial part, layer 2/3"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Orbital area,"Orbital area, medial part","Orbital area, medial part, layer 5",,,610,1,"Orbital area, medial part, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Orbital area,"Orbital area, ventrolateral part","Orbital area, ventrolateral part, layer 1",,,959,807,"Orbital area, ventrolateral part, layer 1"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Orbital area,"Orbital area, ventrolateral part","Orbital area, ventrolateral part, layer 2/3",,,278,76,"Orbital area, ventrolateral part, layer 2/3"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Orbital area,"Orbital area, ventrolateral part","Orbital area, ventrolateral part, layer 5",,,1112,16,"Orbital area, ventrolateral part, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Perirhinal area,"Perirhinal area, layer 1",,,,530,2,"Perirhinal area, layer 1"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Perirhinal area,"Perirhinal area, layer 2/3",,,,878,4,"Perirhinal area, layer 2/3"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Posterior parietal association areas,Anterior area,"Anterior area, layer 4",,,1211,1,"Anterior area, layer 4"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Posterior parietal association areas,Anterior area,"Anterior area, layer 5",,,1212,1,"Anterior area, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Posterior parietal association areas,Rostrolateral visual area,"Rostrolateral area, layer 4",,,1224,2,"Rostrolateral area, layer 4"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Posterior parietal association areas,Rostrolateral visual area,"Rostrolateral area, layer 5",,,1225,1,"Rostrolateral area, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Posterior parietal association areas,Rostrolateral visual area,"Rostrolateral area, layer 6a",,,1226,1,"Rostrolateral area, layer 6a"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Prelimbic area,"Prelimbic area, layer 1",,,,166,59,"Prelimbic area, layer 1"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Prelimbic area,"Prelimbic area, layer 2/3",,,,294,3,"Prelimbic area, layer 2/3"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Retrosplenial area,"Retrosplenial area, dorsal part","Retrosplenial area, dorsal part, layer 2/3",,,424,1,"Retrosplenial area, dorsal part, layer 2/3"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Retrosplenial area,"Retrosplenial area, dorsal part","Retrosplenial area, dorsal part, layer 5",,,600,1,"Retrosplenial area, dorsal part, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Retrosplenial area,"Retrosplenial area, lateral agranular part","Retrosplenial area, lateral agranular part, layer 5",,,764,4,"Retrosplenial area, lateral agranular part, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Retrosplenial area,"Retrosplenial area, ventral part","Retrosplenial area, ventral part, layer 5",,,677,1,"Retrosplenial area, ventral part, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatomotor areas,Secondary motor area,"Secondary motor area, layer 1",,,646,2,"Secondary motor area, layer 1"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatomotor areas,Secondary motor area,"Secondary motor area, layer 2/3",,,952,1,"Secondary motor area, layer 2/3"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, barrel field","Primary somatosensory area, barrel field, layer 1",,971,1,"Primary somatosensory area, barrel field, layer 1"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, barrel field","Primary somatosensory area, barrel field, layer 2/3",,194,7,"Primary somatosensory area, barrel field, layer 2/3"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, barrel field","Primary somatosensory area, barrel field, layer 5",,1059,1,"Primary somatosensory area, barrel field, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, barrel field","Primary somatosensory area, barrel field, layer 6a",,1027,4,"Primary somatosensory area, barrel field, layer 6a"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, mouth","Primary somatosensory area, mouth, layer 2/3",,647,1,"Primary somatosensory area, mouth, layer 2/3"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, mouth","Primary somatosensory area, mouth, layer 6a",,1091,1,"Primary somatosensory area, mouth, layer 6a"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, nose","Primary somatosensory area, nose, layer 2/3",,828,1,"Primary somatosensory area, nose, layer 2/3"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, unassigned","Primary somatosensory area, unassigned, layer 5",,1204,1,"Primary somatosensory area, unassigned, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, unassigned","Primary somatosensory area, unassigned, layer 6a",,1205,1,"Primary somatosensory area, unassigned, layer 6a"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Supplemental somatosensory area,"Supplemental somatosensory area, layer 2/3",,,796,2,"Supplemental somatosensory area, layer 2/3"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Supplemental somatosensory area,"Supplemental somatosensory area, layer 5",,,1079,6,"Supplemental somatosensory area, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Supplemental somatosensory area,"Supplemental somatosensory area, layer 6a",,,852,1,"Supplemental somatosensory area, layer 6a"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Temporal association areas,"Temporal association areas, layer 5",,,,279,1,"Temporal association areas, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visceral area,"Visceral area, layer 4",,,,1000,1,"Visceral area, layer 4"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visceral area,"Visceral area, layer 5",,,,1047,1,"Visceral area, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,Anterolateral visual area,"Anterolateral visual area, layer 2/3",,,895,1,"Anterolateral visual area, layer 2/3"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,Anterolateral visual area,"Anterolateral visual area, layer 5",,,226,3,"Anterolateral visual area, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,Anteromedial visual area,"Anteromedial visual area, layer 5",,,423,2,"Anteromedial visual area, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,Lateral visual area,"Lateral visual area, layer 4",,,563,1,"Lateral visual area, layer 4"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,Lateral visual area,"Lateral visual area, layer 5",,,603,2,"Lateral visual area, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,Posterolateral visual area,"Posterolateral visual area, layer 5",,,892,1,"Posterolateral visual area, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,Postrhinal area,"Postrhinal area, layer 5",,,1232,1,"Postrhinal area, layer 5"
