x,y,theta,mag,J
-3,-2,60,2.0,1.0609275856861324
-3,-2,60,2.5,1.124997538088969
-3,-2,60,3.0,1.07760767475454
-3,-2,60,3.5,1.0707431842451973
-3,-2,60,4.0,0.9326781332699831
-3,-2,60,4.5,1.0622055241513133
-3,-2,60,5.0,0.8183272803110553
-3,-2,70,0.5,0.8720319652594236
-3,-2,70,1.0,0.9667135155003749
-3,-2,70,1.5,1.268751931191761
-3,-2,70,2.0,1.0271992657094577
-3,-2,70,2.5,0.9448131250723925
-3,-2,70,3.0,1.0026397100828597
-3,-2,70,3.5,0.09772535254973855
-3,-2,70,4.0,0.9099616293847161
-3,-2,70,4.5,0.5519935400061573
-3,-2,70,5.0,0.8572815519372005
-3,-2,80,0.5,0.8552584376956995
-3,-2,80,1.0,0.8434071477703398
-3,-2,80,1.5,1.214563952675104
-3,-2,80,2.0,0.8439988570293737
-3,-2,80,2.5,0.7868498686377775
-3,-2,80,3.0,0.8180937244099433
-3,-2,80,3.5,-0.1216403509892297
-3,-2,80,4.0,0.7902794702558898
-3,-2,80,4.5,0.35163106342766665
-3,-2,80,5.0,0.7999771710676469
-3,-2,90,0.5,0.8366304927338584
-3,-2,90,1.0,0.8050675415644326
-3,-2,90,1.5,1.1461169521077599
-3,-2,90,2.0,0.7626336405319569
-3,-2,90,2.5,0.6228306487292902
-3,-2,90,3.0,0.7048060020146375
-3,-2,90,3.5,-0.315162907204537
-3,-2,90,4.0,0.660360096866121
-3,-2,90,4.5,0.1624945713611858
-3,-2,90,5.0,0.6700206990808011
-3,-2,280,0.5,0.7917138190544193
-3,-2,280,1.0,0.839802815398008
-3,-2,290,0.5,0.8087535699788091
-3,-2,290,1.0,0.8665798450915894
-3,-2,300,0.5,0.8477573130566592
-3,-2,300,1.0,0.8648907643698434
-3,-2,310,0.5,0.8626396826472701
-3,-2,310,1.0,0.8772420645206193
-3,-2,320,0.5,0.901838797753806
-3,-2,320,1.0,0.9010942135955217
-3,-2,320,1.5,0.9751010163201909
-3,-2,330,0.5,0.9117467778893317
-3,-2,330,1.0,0.9373167400936068
-3,-2,330,1.5,0.9875052195252166
-3,-2,340,0.5,0.9393971189768526
-3,-2,340,1.0,0.9683389591476904
-3,-2,340,1.5,1.0203449318603661
-3,-2,340,2.0,1.0796762637488522
-3,-2,340,2.5,1.1641596886641463
-3,-2,350,0.5,0.9460948387103437
-3,-2,350,1.0,0.9875421874847115
-3,-2,350,1.5,1.0310209546525848
-3,-2,350,2.0,1.0747161655189248
-3,-2,350,2.5,1.1176611872553188
-3,-2,350,3.0,1.1607729135554563
-3,-2,350,3.5,1.2039751895288695
-3,-2,350,4.0,1.2461719960079958
-3,-2,350,4.5,1.3799065181217602
-3,-2,350,5.0,1.435997471752505
-3,-1,0,0.5,0.8892465791010872
-3,-1,0,1.0,0.9979675058200563
-3,-1,0,1.5,1.1345072267955731
-3,-1,0,2.0,1.3258157458110282
-3,-1,0,2.5,1.4891709375193296
-3,-1,0,3.0,1.583409569790493
-3,-1,0,3.5,1.7293359692221686
-3,-1,0,4.0,1.6597560865048089
-3,-1,0,4.5,1.7696324836532267
-3,-1,0,5.0,1.6487422184885356
-3,-1,10,0.5,0.8657155298898012
-3,-1,10,1.0,1.0143240333991654
-3,-1,10,1.5,1.2164575924544812
-3,-1,10,2.0,1.2690671533359101
-3,-1,10,2.5,1.266444311536524
-3,-1,10,3.0,1.2585856621455305
-3,-1,10,3.5,1.5802137132780583
-3,-1,10,4.0,1.9315281267110658
-3,-1,10,4.5,2.7157018931270915
-3,-1,10,5.0,0.9979585612805919
-3,-1,20,0.5,0.8625494449553968
-3,-1,20,1.0,1.082458624678544
-3,-1,20,1.5,1.1003498762097126
-3,-1,20,2.0,1.1325442558469572
-3,-1,20,2.5,1.4276680422364967
-3,-1,20,3.0,1.6813097623594535
-3,-1,20,3.5,0.9986364572921143
-3,-1,20,4.0,1.3354532356901878
-3,-1,20,4.5,1.8134521149335932
-3,-1,20,5.0,2.0432589265644046
-3,-1,30,0.5,0.840057625077749
-3,-1,30,1.0,1.0489033855166618
-3,-1,30,1.5,1.0635264388768135
-3,-1,30,2.0,1.2320997723567464
-3,-1,30,2.5,1.436313044287744
-3,-1,30,3.0,1.1941300764211824
-3,-1,30,3.5,1.4769100408455829
-3,-1,30,4.0,1.1362637031244411
-3,-1,30,4.5,1.321039131554232
-3,-1,30,5.0,1.5305044072658514
-3,-1,40,0.5,0.829505806814232
-3,-1,40,1.0,1.0039039720339387
-3,-1,40,1.5,1.0353083357017985
-3,-1,40,2.0,1.199204323113865
-3,-1,40,2.5,1.1109133688625932
-3,-1,40,3.0,1.2687324151038621
-3,-1,40,3.5,1.0155036625407947
-3,-1,40,4.0,1.2887872419291893
-3,-1,40,4.5,1.3454146493511994
-3,-1,40,5.0,1.192853846148285
-3,-1,50,0.5,0.914074815175939
-3,-1,50,1.0,0.9831148461426733
-3,-1,50,1.5,0.9820910056777608
-3,-1,50,2.0,1.044042106731218
-3,-1,50,2.5,1.0802428799676311
-3,-1,50,3.0,0.8422362845519609
-3,-1,50,3.5,1.1309322558806698
-3,-1,50,4.0,0.9452648430400911
-3,-1,50,4.5,1.0534301867915123
-3,-1,50,5.0,1.1574519715717084
-3,-1,60,0.5,0.9068387064666753
-3,-1,60,1.0,0.9682865348848618
-3,-1,60,1.5,0.8750040237276756
-3,-1,60,2.0,0.9994689034792816
-3,-1,60,2.5,0.8714395814429801
-3,-1,60,3.0,0.9085912977722047
-3,-1,60,3.5,0.9978452710585738
-3,-1,60,4.0,0.8982068693462649
-3,-1,60,4.5,1.0261461422102596
-3,-1,70,0.5,0.8944599358421345
-3,-1,70,1.0,0.951420334181736
-3,-1,70,1.5,0.815413657665101
-3,-1,70,2.0,0.9610599079609795
-3,-1,70,2.5,0.2714710208291369
-3,-1,70,3.0,0.9014963137322974
-3,-1,70,3.5,0.5999580000292251
-3,-1,70,4.0,0.8621720384319476
-3,-1,80,0.5,0.8772393726773962
-3,-1,80,1.0,0.8036975335975894
-3,-1,80,1.5,0.7214082352310776
-3,-1,80,2.0,0.805761876607307
-3,-1,80,2.5,0.1151681938361354
-3,-1,80,3.0,0.7956763660966298
-3,-1,80,3.5,0.44443128400970056
-3,-1,80,4.0,0.810028524138439
-3,-1,90,0.5,0.8540705485900961
-3,-1,90,1.0,0.7626336405319566
-3,-1,90,1.5,0.6228306487292883
-3,-1,90,2.0,0.729871386902085
-3,-1,90,2.5,-0.02290693534207866
-3,-1,90,3.0,0.6979187512688401
-3,-1,90,3.5,0.2972610812965952
-3,-1,90,4.0,0.7057892829000476
-3,-1,280,0.5,0.7219562219142531
-3,-1,280,1.0,0.8061140989076555
-3,-1,280,1.5,0.7391172888098189
-3,-1,280,2.0,0.8301893924157747
-3,-1,290,0.5,0.7448205953657807
-3,-1,290,1.0,0.8393701194002832
-3,-1,290,1.5,0.8134462431725946
-3,-1,290,2.0,0.8464898670660567
-3,-1,300,0.5,0.8081690382152198
-3,-1,300,1.0,0.8373235155117672
-3,-1,300,1.5,0.8887141381687124
-3,-1,300,2.0,0.8789908902282666
-3,-1,310,0.5,0.8269959332603581
-3,-1,310,1.0,0.8428368189218436
-3,-1,310,1.5,0.9443700620564306
-3,-1,310,2.0,0.9226301683773102
-3,-1,310,2.5,0.9817324291668762
-3,-1,320,0.5,0.8828001435927756
-3,-1,320,1.0,0.8581847551082948
-3,-1,320,1.5,0.9772601828111188
-3,-1,320,2.0,0.992627836680398
-3,-1,320,2.5,1.0144671510965506
-3,-1,320,3.0,1.1123184133469304
-3,-1,330,0.5,0.8953029684553171
-3,-1,330,1.0,0.9176163168632354
-3,-1,330,1.5,0.9648173642445633
-3,-1,330,2.0,1.1064213902112896
-3,-1,330,2.5,1.1692596985198702
-3,-1,330,3.0,1.0848206104098097
-3,-1,330,3.5,1.1758565187513321
-3,-1,340,0.5,0.9283475182587233
-3,-1,340,1.0,0.9632737418451476
-3,-1,340,1.5,1.0198701779263197
-3,-1,340,2.0,1.0909065562345805
-3,-1,340,2.5,1.1913908673942137
-3,-1,340,3.0,1.353446814237732
-3,-1,340,3.5,1.4441973347852708
-3,-1,340,4.0,1.5404148287647785
-3,-1,340,4.5,1.5472542669870724
-3,-1,340,5.0,1.2738337288931514
-3,-1,350,0.5,0.935746394832083
-3,-1,350,1.0,0.9863097674989825
-3,-1,350,1.5,1.0391064103110925
-3,-1,350,2.0,1.0922949343997286
-3,-1,350,2.5,1.1447672455646496
-3,-1,350,3.0,1.1970802296035226
-3,-1,350,3.5,1.2510993962462824
-3,-1,350,4.0,1.3035503010848677
-3,-1,350,4.5,1.460143238192998
-3,-1,350,5.0,1.5278266313357594
-3,0,0,0.5,0.8831042826910642
-3,0,0,1.0,1.0000637538414159
-3,0,0,1.5,1.1586243273438308
-3,0,0,2.0,1.4999871616444913
-3,0,0,2.5,1.7499708105915541
-3,0,0,3.0,1.7491764266391527
-3,0,0,3.5,1.9372817133648494
-3,0,0,4.0,0.9983416550382243
