x,y,theta,mag,J,min_J,J9,min_J9,correlation_J_J9
-3,-3,100,3.0,0.9478252529581741,0.3307347765413557,0.2933568064783163,-3.2416147495689316,0.6528504357624771
-3,-3,100,3.5,0.9314142628743315,0.20881876342252026,0.1295135155765939,-3.9998583602277584,0.6491244705779022
-3,-3,100,4.0,0.9162677682267398,0.0863202037491256,-0.0289621147137345,-4.751976039819628,0.6511471536673824
-3,-3,100,4.5,0.9002618796792894,-0.03580634232537444,-0.18251771175872716,-5.498508201578542,0.65469974588434
-3,-3,100,5.0,0.884942581943202,-0.15832124637083475,-0.35172392035551947,-6.259339154673896,0.6580156767365849
-3,-3,110,0.5,1.025771044124027,0.8901633274350875,1.1180541596314384,0.2755522520899698,0.9329240295644168
-3,-3,110,1.0,1.0139121060783443,0.844672577265682,0.9782260102276806,-0.12395216475179732,0.8648191951326566
-3,-3,110,1.5,1.0057953564307167,0.732773190022453,0.8167317396032142,-0.8543215363951187,0.7288597584182629
-3,-3,110,2.0,0.9939487975503133,0.6221291677984591,0.6676145326831071,-1.57020734159707,0.6673359101710422
-3,-3,110,2.5,0.9820990221827571,0.5114031643596629,0.520160358651142,-2.2828092178159824,0.6483527448431212
-3,-3,110,3.0,0.9708370104363953,0.40031922993074487,0.40549603343922475,-2.9572457904833844,0.6485494086845097
-3,-3,110,3.5,0.9594988704604289,0.28922527314016133,0.30694929206468324,-3.614281554614512,0.6637981285511907
-3,-3,110,4.0,0.9480966189766068,0.1781228870974525,0.20816529461455002,-4.2739531340901324,0.6759598750413349
-3,-3,110,4.5,0.9366417085448766,0.06701102172664264,0.1106735820983753,-4.929738734209204,0.6841621768633288
-3,-3,110,5.0,0.9251421303145309,-0.04411164667258094,0.011657197976114309,-5.5894390266670255,0.6899007608100689
-3,-3,120,0.5,1.0302147274127103,0.8846434654578271,1.1443417835295908,0.2670928812776469,0.9359885782160631
-3,-3,120,1.0,1.0255867785606727,0.853464339265154,1.0008980530918916,-0.10527940268494829,0.8687651120442784
-3,-3,120,1.5,1.0178645566343494,0.7779745044580962,0.8734938345126488,-0.663311618069685,0.7653608872359544
-3,-3,120,2.0,1.0110746555763899,0.68171404753236,0.7649823193875787,-1.287591992031863,0.7176919237500607
-3,-3,120,2.5,1.004121326236779,0.5854265109894145,0.7055734008869909,-1.8565398672318216,0.7353470281696197
-3,-3,120,3.0,0.9970387014276693,0.48912011052478854,0.6494655833102546,-2.427023354664963,0.7535710435642744
-3,-3,120,3.5,0.9898566619179718,0.3927887341570271,0.590475373169488,-2.9973291536621587,0.7628846680645923
-3,-3,120,4.0,0.9825888661703925,0.2964249499420958,0.5307294013331296,-3.563071714792959,0.768480009807075
-3,-3,120,4.5,0.9752338350921307,0.20001956596250775,0.47103438571705025,-4.134073375753519,0.7715612383078759
-3,-3,120,5.0,0.9677852520933412,0.10357340653916966,0.40954546009961534,-4.6989174868699015,0.7734807083979566
-3,-3,130,0.5,1.0336802033779118,0.8789674790529644,1.1664009515943827,0.20609046523084384,0.9369779151704597
-3,-3,130,1.0,1.0346453483866938,0.8442214385557283,1.0404807101287414,-0.3688002678986153,0.8800155843232427
-3,-3,130,1.5,1.0318180342798589,0.8069254373262691,0.9489870945369452,-0.996823623903223,0.8037976321705622
-3,-3,130,2.0,1.029467162679259,0.7526318974498918,0.9329585232776839,-1.1179955095739265,0.8289045347376386
