x,y,theta,mag,J,min_J,J3,min_J3,correlation_J_J3
-3,-3,20,0.5,1.01121253835241,0.9499566004558087,1.0310439327721581,0.8636086344658668,0.9543031728118333
-3,-3,20,1.0,0.9886526707309854,0.9142796197933865,0.962760246842064,0.8171984645759856,0.8689405881682339
-3,-3,20,1.5,0.9637081289167782,0.8380674534270727,0.8911697847100704,0.6659758419742097,0.8671772559235121
-3,-3,20,2.0,0.9398344647740063,0.724655214604816,0.8181810644710962,0.41978636025619986,0.8760978341649642
-3,-3,20,2.5,0.915611623712517,0.5909279397355982,0.7449343678704162,0.16248665129930712,0.8841186003585488
-3,-3,20,3.0,0.8914625067990462,0.4572312799891359,0.6714817484513678,-0.09463952461365929,0.8893136748174807
-3,-3,20,3.5,0.8673379336400058,0.3235446406978562,0.5978101982335499,-0.35242997550484473,0.8927402366399665
-3,-3,20,4.0,0.8432196057373178,0.1898639157400227,0.5239464026396478,-0.6109999889554872,0.8950896870846087
-3,-3,20,4.5,0.8191081502129327,0.05620200815654258,0.4467816651553952,-0.8960968324401017,0.8915931020985626
-3,-3,20,5.0,0.7950266017266698,-0.07739144607434892,0.37253579974223106,-1.1567583856659789,0.8932528706766268
-3,-3,30,0.5,1.00999877448586,0.9449813940549651,1.0273738891388666,0.8505347531350924,0.9629027320491459
-3,-3,30,1.0,0.9854615874418803,0.8777380256602787,0.9519556193539005,0.7428508091722589,0.8856262135830104
-3,-3,30,1.5,0.9595425861028751,0.7845913709526159,0.8757521708946973,0.5545622149355024,0.8740009821455861
-3,-3,30,2.0,0.9334423494033943,0.690678750582944,0.7978041305660867,0.36748545236551833,0.878256670432527
-3,-3,30,2.5,0.907569797808869,0.5967533847892236,0.7195359197458684,0.18153265074993222,0.8837808210802649
-3,-3,30,3.0,0.8817882856757986,0.4832193936846846,0.6411010147800246,-0.04606157791604111,0.8879705737263094
-3,-3,30,3.5,0.8560423699955755,0.3538545951322696,0.5624800927124098,-0.2953710580494909,0.8909500700136187
-3,-3,30,4.0,0.830307730340138,0.22449240321041475,0.4836802052490137,-0.5453268034053295,0.8930879413858301
-3,-3,30,4.5,0.8045766693149456,0.09513698438448613,0.40472940734914115,-0.7959320438143301,0.8946561831437021
-3,-3,30,5.0,0.7788544711701336,-0.03418907083111761,0.3224872157224604,-1.0723261362299046,0.8916141617988314
-3,-3,40,0.5,1.0088218851099993,0.9385750141510787,1.0250772976033011,0.8351535827716022,0.9664515242877847
-3,-3,40,1.0,0.9837238957124449,0.846947161175068,0.9469791065623512,0.681253693765476,0.9022213465779367
-3,-3,40,1.5,0.9572842994542844,0.7387971415931576,0.8672550140099115,0.4604767446486474,0.8821957136597033
-3,-3,40,2.0,0.9302410782365673,0.6296086581752168,0.7868842299256947,0.241211235060735,0.881283598323826
-3,-3,40,2.5,0.9034735473892004,0.5204193044059481,0.7059991731338181,0.023265808052569253,0.8842228201987147
-3,-3,40,3.0,0.8768237109560164,0.41122190844657336,0.6249668869492537,-0.19418053173889402,0.887298774567327
-3,-3,40,3.5,0.8502271756764803,0.30202184736926024,0.5438000694264133,-0.4115682686985387,0.889773906302041
-3,-3,40,4.0,0.8236531120094451,0.19282454161208437,0.46248615216619327,-0.6290436227478214,0.8916711458012591
-3,-3,40,4.5,0.7970868148572257,0.08363352715320584,0.38103326290631234,-0.846643261580888,0.8931237427850376
-3,-3,40,5.0,0.7705231954908706,-0.025549314732513317,0.2994612988980534,-1.0643670992872083,0.8942482485341741
-3,-3,50,0.5,1.0103767784564752,0.9331093649379797,1.0247592617604109,0.8163844792372824,0.9706333233518826
-3,-3,50,1.0,0.9840789499434337,0.8241586912867274,0.9457584516828543,0.631346389130811,0.9108737783241406
-3,-3,50,1.5,0.9574013420881187,0.7030630191108911,0.8656015945684996,0.38651046332998495,0.8912692672165224
-3,-3,50,2.0,0.930400532258295,0.5818155777952991,0.785611150813153,0.14196825271376418,0.886117316110882
-3,-3,50,2.5,0.9034978718825435,0.4606741048969655,0.7046870621659418,-0.101683241849686,0.8859906589063495
