x,y,theta,mag,J,min_J
-3,-3,160,1.0,1.0611275352290512,0.8303887932576343
-3,-3,160,1.5,1.0722130098736382,0.7855498864954507
-3,-3,160,2.0,1.0836323425892658,0.7405358864187482
-3,-3,160,2.5,1.0941964658209287,0.6940565993098873
-3,-3,160,3.0,1.1019541423040944,0.632962479076897
-3,-3,160,3.5,1.1156080015463081,0.6145793210642433
-3,-3,160,4.0,1.1332445273719736,0.5981388336896206
-3,-3,160,4.5,1.1463462954358015,0.5591403134731939
-3,-3,160,5.0,1.158619622406406,0.5181841156962835
-3,-3,170,0.5,1.0539338357283785,0.8755650069850488
-3,-3,170,1.0,1.0677456786499226,0.83045622498934
-3,-3,170,1.5,1.083369727129859,0.7860284248680822
-3,-3,170,2.0,1.0993346295599071,0.7413019594946877
-3,-3,170,2.5,1.1137448126539786,0.6947046350453906
-3,-3,170,3.0,1.1250576625068773,0.639865096470074
-3,-3,170,3.5,1.1448484633903677,0.6262961365938683
-3,-3,170,4.0,1.167625218236166,0.6121262726870255
-3,-3,170,4.5,1.183314395930087,0.5654639502972972
-3,-3,170,5.0,1.1992874963984645,0.5235247085597148
-3,-3,180,0.5,1.058436081328036,0.8768272642078154
-3,-3,180,1.0,1.0767732611111156,0.8348409616946479
-3,-3,180,1.5,1.0955866097297577,0.7919719117628807
-3,-3,180,2.0,1.113986077239844,0.7481523851541036
-3,-3,180,2.5,1.1320317659301573,0.7030430424951776
-3,-3,180,3.0,1.1474718453369503,0.6525465295975047
-3,-3,180,3.5,1.1711025035762992,0.6417390085965942
-3,-3,180,4.0,1.1968512445564146,0.6282302240617745
-3,-3,180,4.5,1.2156788001094183,0.5822672906496152
-3,-3,180,5.0,1.23018436094464,0.5170805726413743
-3,-3,190,0.5,1.0615518950194966,0.8791536520569502
-3,-3,190,1.0,1.084639660767911,0.8418023388210615
-3,-3,190,1.5,1.106109281194503,0.8018614002410362
-3,-3,190,2.0,1.1264207194965015,0.760394964374925
-3,-3,190,2.5,1.1476024250747214,0.7183138232810978
-3,-3,190,3.0,1.1656867974117688,0.6672761628610641
-3,-3,190,3.5,1.192249120779408,0.6594589960448962
-3,-3,190,4.0,1.2203185599164905,0.6513176307966575
-3,-3,190,4.5,1.242594405320452,0.6095717413005476
-3,-3,190,5.0,1.2651541734988703,0.5726768990363671
-3,-3,200,0.5,1.0639504258459092,0.8844652714136066
-3,-3,200,1.0,1.0878021265973947,0.8495107351563361
-3,-3,200,1.5,1.1122248969261541,0.8140362526901415
-3,-3,200,2.0,1.1355251540081697,0.7771169990293115
-3,-3,200,2.5,1.1590624800945595,0.7395055979674363
-3,-3,200,3.0,1.1797933594324526,0.6859661695760162
-3,-3,200,3.5,1.2064204215293919,0.6779333529564784
-3,-3,200,4.0,1.237030150209783,0.6741795046423669
-3,-3,200,4.5,1.2631051211283364,0.6457312243895936
-3,-3,200,5.0,1.2883516509536685,0.6149275694826327
-3,-3,210,0.5,1.0631260806888143,0.8883215252471179
-3,-3,210,1.0,1.0911292151164662,0.8601618732432198
-3,-3,210,1.5,1.1165344092294969,0.8294672264227263
-3,-3,210,2.0,1.142099667074475,0.7985498028277531
-3,-3,210,2.5,1.1673985754490575,0.766722976499429
-3,-3,210,3.0,1.1908259445806257,0.7211586476022678
-3,-3,210,3.5,1.2152899532027952,0.697202703638856
-3,-3,210,4.0,1.2452398066731662,0.6962128002990084
-3,-3,210,4.5,1.2772498880982248,0.6960199854612765
-3,-3,210,5.0,1.3036961238905003,0.6655739581914197
-3,-3,220,0.5,1.0654346822413383,0.8953134397682605
-3,-3,220,1.0,1.0928279173283793,0.8725914759656096
-3,-3,220,1.5,1.119010896904727,0.8480962419928478
-3,-3,220,2.0,1.1455413554669287,0.8236819513956667
-3,-3,220,2.5,1.1718403567103788,0.7986242803651444
-3,-3,220,3.0,1.1979360376011758,0.7727043515730877
