x,y,theta,mag,J3,min_J3,J9,min_J9,correlation_J3_J9
-3,-3,60,1.5,0.8717121436772862,0.33546653060676396,0.5883921500400379,-0.9772831984989566,0.8749120002668233
-3,-3,60,2.0,0.7934695017607737,0.07304419034942086,0.36865283742637667,-1.7269044934949647,0.9059368003450677
-3,-3,60,2.5,0.7153969816268934,-0.18877927864416433,0.14869891559820644,-2.476569178569426,0.9219549702447407
-3,-3,60,3.0,0.6367032484093124,-0.4500491754319485,-0.17980851579552987,-3.3459792742670835,0.9154448974924031
-3,-3,60,3.5,0.5577881958395314,-0.7106877811802019,-0.4030044159032261,-4.098193053428089,0.9256351397482178
-3,-3,60,4.0,0.478790623149101,-0.970972582390999,-0.6254527228691797,-4.853292305256696,0.9311992939264696
-3,-3,60,4.5,0.3997393602004554,-1.2311134740700722,-0.8506456110901119,-5.605798621599119,0.9341961143900479
-3,-3,60,5.0,0.3206319761264944,-1.4912235490180088,-1.0738408367383907,-6.3546309004022765,0.9366953430508625
-3,-3,70,0.5,1.0304966167197684,0.7730544576085705,0.9841893515030059,0.0011818179961670275,0.8112957053858912
-3,-3,70,1.0,0.9573592906039206,0.5735327236473107,0.7477750606417658,-0.38141813092614185,0.776592377517388
-3,-3,70,1.5,0.884222062977364,0.3059100264411282,0.6195943941466971,-1.0720784589130468,0.8731531956223431
-3,-3,70,2.0,0.8103642189069453,0.03571888086989188,0.4109597396878204,-1.8526688833608018,0.8979895061950502
-3,-3,70,2.5,0.7364104878371884,-0.23543424924544087,0.20194303901225458,-2.633582495896904,0.912177528413271
-3,-3,70,3.0,0.6632994225595417,-0.5062011368425319,-0.00725937823519552,-3.4145863843405073,0.9208528384766027
-3,-3,70,3.5,0.5895703230769068,-0.7773235482298505,-0.2165444529119308,-4.195573149469389,0.9272185389152051
-3,-3,70,4.0,0.5154974015408461,-1.0482146766267522,-0.5329378946561489,-5.095464198171484,0.9230967363198455
-3,-3,70,4.5,0.44125045272503793,-1.3187529414768007,-0.7440372253746342,-5.8779714041008,0.9287713160193117
-3,-3,70,5.0,0.3669207330952674,-1.5890039789419652,-0.9558221457797877,-6.660804630115809,0.9328318675145183
-3,-3,80,0.5,1.0369415360083003,0.7512308024380474,1.0195451925867203,0.06165052024760223,0.8617577612695413
-3,-3,80,1.0,0.9698763020534791,0.5683918748215423,0.8086072527753295,-0.3627234206173004,0.8127550906394831
-3,-3,80,1.5,0.9029950964768745,0.29773438081542863,0.5995555618338548,-1.1722730786006899,0.854009000557365
-3,-3,80,2.0,0.8361247106424902,0.027300485758180427,0.3968684381719998,-1.9747648808367706,0.8771817102529295
-3,-3,80,2.5,0.7693091019424337,-0.24295970290299818,0.28564670166574585,-2.6731311270232365,0.9050460539295903
-3,-3,80,3.0,0.7023213328859138,-0.5134691176893313,0.09391320310734005,-3.4614369942778844,0.9118296498735619
-3,-3,80,3.5,0.635192757216532,-0.7850000645039306,-0.09797041355802011,-4.249869024755155,0.9169999715787136
